,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
27,Teri Jhuki Nazar,Murder 3 (Original Motion Picture Soundtrack),Pritam,2013-02-01,279186,52,0.386,0.707,0.386,0.815,0.0,0.159,-3.395,0.0417,124.293,4,Hip-Hop,Hindi,2013
28,Tu Har Lamha,Khamoshiyan (Original Motion Picture Soundtrack),Various Artists,2014-12-29,272869,50,0.311,0.573,0.311,0.538,0.0,0.113,-4.551,0.0263,137.177,4,Hip-Hop,Hindi,2014
29,Khamoshiyan,Khamoshiyan (Original Motion Picture Soundtrack),Various Artists,2014-12-29,335709,49,0.527,0.631,0.527,0.521,0.0,0.158,-6.837,0.0272,143.892,3,Hip-Hop,Hindi,2014
30,"Jeena Jeena (From ""Badlapur"")","Jeena Jeena (From ""Badlapur"")",Sachin-Jigar,2015-01-15,228968,53,0.677,0.775,0.677,0.318,0.0,0.118,-9.196,0.028,104.983,4,Hip-Hop,Hindi,2015
31,"Sapna Jahan (From ""Brothers"")","Sapna Jahan (From ""Brothers"")",Ajay-Atul,2015-07-24,341780,52,0.471,0.78,0.471,0.329,0.0021,0.117,-11.958,0.0312,126.107,4,Hip-Hop,Hindi,2015
32,"Surili Akhiyon Wale (From ""Veer"")",Veer,Sajid-Wajid,2009-12-21,331758,42,0.514,0.402,0.514,0.574,0.0,0.0965,-5.788,0.0312,75.89,4,Hip-Hop,Hindi,2009
33,Hamari Adhuri Kahani (Title Track),Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,2015-05-21,398799,59,0.223,0.845,0.223,0.359,0.0,0.133,-7.569,0.0312,73.059,4,Hip-Hop,Hindi,2015
34,Humnava,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,2015-05-21,328854,50,0.341,0.781,0.341,0.478,2.07e-05,0.147,-7.201,0.041,199.435,4,Hip-Hop,Hindi,2015
35,Hasi - Female Version,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,2015-05-21,192186,57,0.52,0.927,0.52,0.485,0.000466,0.159,-6.438,0.0269,143.901,4,Hip-Hop,Hindi,2015
36,"Mar Jaayen (From ""Loveshhuda"")","Mar Jaayen (From ""Loveshhuda"")",Atif Aslam,2015-12-01,257288,0,0.515,0.613,0.515,0.52,0.0,0.122,-6.322,0.03,87.954,4,Hip-Hop,Hindi,2015
37,"Tera Chehra (From ""Sanam Teri Kasam"")",Sanam Teri Kasam (Original Motion Picture Soundtrack),Himesh Reshammiya,2016-01-07,274000,38,0.706,0.439,0.706,0.715,2.95e-06,0.0919,-4.143,0.0311,118.971,4,Hip-Hop,Hindi,2016
38,"Tere Sang Yaara (From ""Rustom"")","Tere Sang Yaara (From ""Rustom"")",Atif Aslam,2016-07-06,290939,0,0.615,0.649,0.615,0.6,0.0,0.0755,-6.308,0.0337,76.028,4,Hip-Hop,Hindi,2016
39,,,,2016-07-14,293720,0,0.628,0.747,0.628,0.522,2e-06,0.123,-5.776,0.0244,95.973,4,Hip-Hop,Hindi,2016
40,"Manma Emotion Jaage (From ""Dilwale"")","Manma Emotion Jaage (From ""Dilwale"")",Amit Mishra,2015-11-17,209411,43,0.762,0.0284,0.762,0.822,0.0,0.367,-2.758,0.0425,101.998,4,Hip-Hop,Hindi,2015
41,Tumhe Apna Banane Ka,Hate Story 3 (Original Motion Picture Soundtrack),Various Artists,2015-11-04,310100,0,0.373,0.874,0.373,0.497,0.0989,0.047,-10.35,0.0422,173.79,4,Hip-Hop,Hindi,2015
42,Baaki Baatein Peene Baad (Shots) (feat. Badshah),Baaki Baatein Peene Baad (Shots) (feat. Badshah),Arjun Kanungo,2015-09-25,220312,56,0.566,0.0246,0.566,0.862,0.0,0.103,-6.02,0.105,147.974,4,Hip-Hop,Hindi,2015
43,Muskurane - Romantic,Muskurane (Romantic),Jeet Gannguli,2014-05-12,334331,30,0.567,0.628,0.567,0.577,0.0,0.132,-6.197,0.0264,101.991,4,Hip-Hop,Hindi,2014
44,Tu Hi Mera,Jannat 2 (Original Motion Picture Soundtrack),Pritam,2012-03-30,272973,50,0.621,0.544,0.621,0.859,0.0,0.11,-4.673,0.103,90.047,4,Hip-Hop,Hindi,2012
45,,,,2015-09-23,331612,0,0.604,0.193,0.604,0.794,1.32e-06,0.312,-6.777,0.038,109.99,4,Hip-Hop,Hindi,2015
46,,,,2015-09-23,288301,0,0.543,0.257,0.543,0.642,2.31e-06,0.14,-7.766,0.109,80.211,4,Hip-Hop,Hindi,2015
47,,,,2015-09-23,321529,0,0.504,0.725,0.504,0.684,0.00219,0.08,-6.533,0.0341,134.971,4,Hip-Hop,Hindi,2015
48,,,,2015-09-23,326152,0,0.452,0.413,0.452,0.606,7.7e-06,0.154,-7.624,0.0418,75.042,4,Hip-Hop,Hindi,2015
49,,,,2015-09-23,202123,0,0.652,0.496,0.652,0.562,0.000121,0.327,-8.952,0.0313,119.968,4,Hip-Hop,Hindi,2015
50,,,,2015-09-23,334172,0,0.521,0.597,0.521,0.296,0.0,0.106,-6.606,0.0306,119.961,4,Hip-Hop,Hindi,2015
51,,,,2015-09-23,343080,0,0.443,0.483,0.443,0.82,0.0,0.114,-4.529,0.0741,171.759,4,Hip-Hop,Hindi,2015
52,,,,2015-09-23,254446,0,0.464,0.251,0.464,0.457,0.0,0.131,-6.886,0.0292,149.911,4,Hip-Hop,Hindi,2015
53,,,,2015-09-23,272079,0,0.664,0.589,0.664,0.681,0.0,0.108,-6.567,0.0519,81.081,4,Hip-Hop,Hindi,2015
54,,,,2015-09-23,231628,0,0.589,0.204,0.589,0.958,8.57e-06,0.105,-6.129,0.0777,132.044,4,Hip-Hop,Hindi,2015
55,,,,2015-09-23,260454,0,0.58,0.752,0.58,0.55,0.0,0.111,-6.623,0.0244,87.012,4,Hip-Hop,Hindi,2015
56,,,,2015-09-23,262074,0,0.564,0.108,0.564,0.751,4.44e-06,0.1,-7.005,0.0414,172.033,4,Hip-Hop,Hindi,2015
57,,,,2015-09-23,256771,0,0.562,0.561,0.562,0.667,0.0,0.177,-5.246,0.0312,95.916,4,Hip-Hop,Hindi,2015
58,,,,2015-09-23,291227,0,0.472,0.262,0.472,0.558,0.0,0.161,-6.975,0.0344,144.04,3,Hip-Hop,Hindi,2015
59,,,,2015-09-23,280308,0,0.497,0.575,0.497,0.772,0.000395,0.179,-7.172,0.041,110.729,5,Hip-Hop,Hindi,2015
