,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
30,Ay Vamos,La Familia B Sides,J Balvin,2014-09-16,226413,70,0.718,0.157,0.718,0.711,5.54e-05,0.1,-5.746,0.11,173.916,4,Hip-Hop,Spanish,2014
31,Borro Cassette,"Pretty Boy, Dirty Boy",Maluma,2015-10-30,207306,72,0.73,0.132,0.73,0.701,0.0,0.151,-5.885,0.106,175.95,4,Hip-Hop,Spanish,2015
32,Sin Contrato (feat. Fifth Harmony),Sin Contrato (feat. Fifth Harmony),Maluma,2015-11-20,181269,64,0.782,0.144,0.782,0.791,0.0,0.169,-6.038,0.102,96.022,4,Hip-Hop,Spanish,2015
33,Pretextos (feat. Cosculluela),"Pretty Boy, Dirty Boy",Maluma,2015-10-30,228280,57,0.829,0.253,0.829,0.712,0.0,0.168,-4.959,0.135,86.979,4,Hip-Hop,Spanish,2015
34,La Curiosidad,PB.DB. The Mixtape,Maluma,2015-03-06,219186,0,0.614,0.122,0.614,0.785,0.000971,0.0729,-5.803,0.0499,168.034,4,Hip-Hop,Spanish,2015
35,Vente Pa' Ca (feat. Maluma),Vente Pa' Ca (feat. Maluma),Ricky Martin,2016-09-22,259195,74,0.663,0.00431,0.663,0.92,1.69e-05,0.101,-4.07,0.226,99.935,4,Hip-Hop,Spanish,2016
36,Safari,Energía,J Balvin,2016-06-24,205600,71,0.689,0.531,0.689,0.675,3.17e-06,0.115,-4.281,0.32,180.065,4,Hip-Hop,Spanish,2016
37,Desde Esa Noche (feat. Maluma),Latina,Thalía,2016-05-06,227693,68,0.78,0.171,0.78,0.929,0.0,0.0677,-0.739,0.0532,95.012,4,Hip-Hop,Spanish,2016
38,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Diles,Ozuna,2016-08-26,279276,3,0.805,0.0971,0.805,0.582,0.0,0.163,-5.657,0.0627,117.955,4,Hip-Hop,Spanish,2016
39,Reggaetón Lento (Bailemos),Primera Cita,CNCO,2016-08-26,222560,74,0.761,0.4,0.761,0.838,0.0,0.176,-3.073,0.0502,93.974,4,Hip-Hop,Spanish,2016
40,6 AM,La Familia,J Balvin,2013-09-29,243226,68,0.746,0.152,0.746,0.746,0.0,0.274,-5.046,0.102,175.965,4,Hip-Hop,Spanish,2013
41,Ya Me Enteré,Des/Amor,Reik,2016-06-17,204173,76,0.619,0.502,0.619,0.452,0.0,0.122,-5.449,0.028,131.981,4,Hip-Hop,Spanish,2016
42,Si me dices que sí (feat. Nicky Jam),Blanco Perla,Cosculluela,2016-10-14,276688,54,0.67,0.189,0.67,0.679,0.0,0.168,-5.618,0.118,172.069,4,Hip-Hop,Spanish,2016
43,Corazon Sin Cara,Prince Royce,Prince Royce,2010-01-01,211453,73,0.704,0.0489,0.704,0.83,0.0,0.111,-3.139,0.0297,127.104,4,Hip-Hop,Spanish,2010
44,Chantaje,Chantaje,Shakira,2016-01-01,195612,1,0.859,0.168,0.859,0.756,4.65e-05,0.163,-3.36,0.0643,102.033,4,Hip-Hop,Spanish,2016
45,Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,2016-09-30,209453,74,0.832,0.0559,0.832,0.772,0.000486,0.44,-5.429,0.1,96.016,4,Hip-Hop,Spanish,2016
46,Tan Fácil (feat. Wisin) - Urban Remix,Primera Cita,CNCO,2016-08-26,226560,50,0.8,0.136,0.8,0.819,0.0,0.355,-3.391,0.0461,93.055,4,Hip-Hop,Spanish,2016
47,El Amante,El Amante,Nicky Jam,2017-01-01,219506,0,0.683,0.243,0.683,0.691,0.0,0.14,-5.535,0.0432,179.91,4,Hip-Hop,Spanish,2017
48,Despacito (Featuring Daddy Yankee),Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,228200,65,0.659,0.208,0.659,0.802,0.0,0.123,-4.79,0.148,177.936,4,Hip-Hop,Spanish,2017
49,Soy Peor,Soy Peor,Bad Bunny,2016-12-08,257327,3,0.732,0.679,0.732,0.605,0.0029,0.114,-3.15,0.086,115.942,4,Hip-Hop,Spanish,2016
50,Dile Que Tu Me Quieres,Dile Que Tu Me Quieres,Ozuna,2016-06-06,226400,1,0.721,0.0998,0.721,0.687,0.0,0.0679,-6.682,0.0782,175.914,4,Hip-Hop,Spanish,2016
51,Chillax (feat. Ky-Mani Marley),Visionary,Farruko,2015-10-23,197840,69,0.827,0.0724,0.827,0.646,0.0,0.247,-4.727,0.0766,92.057,4,Hip-Hop,Spanish,2015
52,Traicionera - Remix,Traicionera (Remix),Sebastian Yatra,2016-12-09,208720,42,0.763,0.0312,0.763,0.764,0.0,0.371,-3.96,0.0533,91.036,4,Hip-Hop,Spanish,2016
53,Privado,Privado,Rvssian,2016-01-01,260000,0,0.739,0.0135,0.739,0.549,0.0,0.112,-6.147,0.178,127.055,4,Hip-Hop,Spanish,2016
54,Hasta el Amanecer,Fénix,Nicky Jam,2017-01-20,198706,72,0.832,0.282,0.832,0.608,0.0,0.0761,-6.042,0.0385,94.013,4,Hip-Hop,Spanish,2017
55,El Perdón,Fénix,Nicky Jam,2017-01-20,205906,75,0.628,0.446,0.628,0.69,0.0,0.112,-5.828,0.0511,179.911,4,Hip-Hop,Spanish,2017
56,Alguien Robo,Alguien Robó,Sebastian Yatra,2017-02-10,223613,52,0.743,0.103,0.743,0.924,0.0,0.178,-2.671,0.097,92.966,4,Hip-Hop,Spanish,2017
57,Dilema,Dilema,Prince Royce,2017-01-01,250026,0,0.753,0.412,0.753,0.741,0.0,0.101,-5.103,0.0432,124.018,4,Hip-Hop,Spanish,2017
58,Deja vu,FIVE (Deluxe Edition),Prince Royce,2017-02-24,196480,68,0.732,0.39,0.732,0.801,0.0,0.31,-3.859,0.0327,123.981,4,Hip-Hop,Spanish,2017
59,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,2017-02-24,208162,75,0.684,0.0744,0.684,0.823,0.0,0.111,-3.297,0.0773,91.048,4,Hip-Hop,Spanish,2017
60,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) [Spanish Version],Pitbull,2017-03-09,194941,56,0.489,0.0277,0.489,0.962,6.18e-06,0.128,-2.597,0.215,104.563,4,Hip-Hop,Spanish,2017
61,Princesa,Princesa,Río Roma,2017-01-01,224066,0,0.707,0.0262,0.707,0.854,8.08e-06,0.272,-4.749,0.051,103.988,4,Hip-Hop,Spanish,2017
62,AMG,AMG,Farruko,2017-03-13,216546,8,0.699,0.182,0.699,0.699,0.0,0.15,-6.382,0.0644,81.495,4,Hip-Hop,Spanish,2017
63,Me llamas (feat. Maluma) - Remix,Me Llamas (feat. Maluma) [Remix],Piso 21,2016-12-02,210322,71,0.76,0.547,0.76,0.838,1.3e-06,0.0664,-3.828,0.0529,93.05,4,Hip-Hop,Spanish,2016
64,"Si Una Vez (feat. Wisin, Frankie J & Leslie Grace) - If I Once","Si Una Vez (feat. Wisin, Frankie J & Leslie Grace) [If I Once]",Play-N-Skillz,2016-12-02,237919,52,0.516,0.129,0.516,0.732,0.0,0.108,-3.512,0.0955,88.043,4,Hip-Hop,Spanish,2016
65,Me Enamoré,Me Enamoré,Shakira,2017-01-01,225812,0,0.711,0.211,0.711,0.875,0.000198,0.0862,-2.211,0.104,103.637,4,Hip-Hop,Spanish,2017
66,Hey DJ - Pop Version,Hey DJ (Pop Version),CNCO,2017-04-06,186986,54,0.721,0.113,0.721,0.734,0.0,0.277,-4.266,0.0841,179.956,4,Hip-Hop,Spanish,2017
67,Escápate Conmigo,Escápate Conmigo,Wisin,2017-03-31,232786,2,0.747,0.0245,0.747,0.864,4.46e-05,0.0853,-3.181,0.0599,92.028,4,Hip-Hop,Spanish,2017
68,La Rompe Corazones,La Rompe Corazones,Daddy Yankee,2017-01-13,204520,71,0.685,0.116,0.685,0.859,0.0,0.317,-2.595,0.0553,176.018,4,Hip-Hop,Spanish,2017
69,En La Intimidad,En La Intimidad,Ozuna,2016-08-06,256130,1,0.749,0.0446,0.749,0.671,0.0,0.101,-7.741,0.0568,113.077,4,Hip-Hop,Spanish,2016
70,Déjame te explico,Déjame Te Explico,Reykon,2017-03-31,182330,52,0.836,0.26,0.836,0.78,0.0,0.231,-4.448,0.0665,92.994,4,Hip-Hop,Spanish,2017
71,Hey DJ,Hey DJ,CNCO,2017-04-07,205520,3,0.792,0.0309,0.792,0.819,0.0,0.389,-5.418,0.0867,89.98,4,Hip-Hop,Spanish,2017
72,Todo Cambio (feat. CNCO),Todo Cambio (feat. CNCO),Becky G,2017-03-24,233840,51,0.747,0.101,0.747,0.869,0.0203,0.228,-3.352,0.0655,103.015,4,Hip-Hop,Spanish,2017
73,La Temperatura (feat. Eli Palacios),PB.DB. The Mixtape,Maluma,2015-03-06,224786,0,0.763,0.0515,0.763,0.82,4.65e-05,0.316,-4.873,0.0373,119.971,4,Hip-Hop,Spanish,2015
74,Carnaval,PB.DB. The Mixtape,Maluma,2015-03-06,212040,0,0.74,0.0365,0.74,0.859,1.08e-05,0.0639,-4.742,0.033,130.011,4,Hip-Hop,Spanish,2015
75,Volverte a Ver,Primera Cita,CNCO,2016-08-26,251306,51,0.684,0.17,0.684,0.868,0.0,0.139,-4.521,0.0451,90.025,4,Hip-Hop,Spanish,2016
76,Para Enamorarte,Primera Cita,CNCO,2016-08-26,188533,57,0.817,0.0924,0.817,0.676,0.0,0.0988,-4.607,0.0379,115.999,4,Hip-Hop,Spanish,2016
77,Quisiera,Primera Cita,CNCO,2016-08-26,185240,58,0.663,0.147,0.663,0.874,0.0,0.367,-3.783,0.0506,91.85,4,Hip-Hop,Spanish,2016
78,Felices los 4,Felices los 4,Maluma,2017-04-21,229848,5,0.755,0.231,0.755,0.789,0.0,0.351,-4.502,0.146,93.973,4,Hip-Hop,Spanish,2017
79,Cien,Primera Cita,CNCO,2016-08-26,187746,50,0.606,0.205,0.606,0.63,0.0,0.0966,-4.472,0.0474,160.171,4,Hip-Hop,Spanish,2016
80,Besándote,Besándote,Piso 21,2017-04-21,181048,59,0.724,0.0345,0.724,0.809,0.0,0.169,-4.96,0.056,95.037,4,Hip-Hop,Spanish,2017
81,Casi Nada - Nando Pro Remix,Casi Nada (Nando Pro Remix),KAROL G,2016-08-26,203160,0,0.746,0.0438,0.746,0.815,0.0,0.238,-5.018,0.0362,101.989,4,Hip-Hop,Spanish,2016
82,Hoy Tengo Ganas De Ti,Hoy Tengo Ganas De Ti,Alejandro Fernández,2013-01-01,291253,46,0.387,0.312,0.387,0.472,0.0,0.0687,-6.5,0.0392,123.654,4,Hip-Hop,Spanish,2013
83,No Me Doy Por Vencido,Palabras Del Silencio,Luis Fonsi,2008-01-01,238360,47,0.352,0.435,0.352,0.651,0.0,0.609,-6.413,0.0851,172.357,3,Hip-Hop,Spanish,2008
84,Loca (feat. Cali y El Dandee),Loca (feat. Cali y El Dandee),Maite Perroni,2017-05-12,234366,64,0.751,0.11,0.751,0.839,0.0,0.0865,-3.367,0.054,95.019,4,Hip-Hop,Spanish,2017
85,Enamorate,Justo Ahora,Dvicio,2014-09-08,194893,57,0.665,0.285,0.665,0.843,0.0,0.422,-4.215,0.0355,93.993,4,Hip-Hop,Spanish,2014
