,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Sauce It Up,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,207038,70,0.813,0.0715,0.813,0.528,0.0,0.125,-6.305,0.313,79.532,4
40,Run Up the Racks,Without Warning,21 Savage,2017-10-30,189800,56,0.825,0.141,0.825,0.364,0.311,0.195,-7.635,0.121,153.028,4
41,Mad Stalkers,Without Warning,21 Savage,2017-10-30,202666,60,0.9,0.147,0.9,0.365,0.185,0.179,-6.395,0.235,135.003,4
42,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,2017-08-25,221746,78,0.703,0.617,0.703,0.757,0.0,0.106,-3.612,0.05,82.008,4
43,Wanted You (feat. Lil Uzi Vert),Wanted You (feat. Lil Uzi Vert),NAV,2017-11-03,228080,0,0.797,0.174,0.797,0.721,0.0,0.24,-4.912,0.0575,146.924,4
44,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,258158,63,0.611,0.035,0.611,0.478,0.0,0.107,-5.839,0.107,172.076,4
45,Undefeated (feat. 21 Savage),The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,174012,56,0.717,0.293,0.717,0.753,0.0,0.158,-4.609,0.311,169.857,4
46,Codeine Dreaming (feat. Lil Wayne),Project Baby 2: All Grown Up (Deluxe Edition),Kodak Black,2017-11-24,264531,69,0.736,0.0652,0.736,0.604,6.43e-05,0.124,-7.357,0.222,155.007,4
47,Bust Down,A Love Letter To You 2,Trippie Redd,2017-10-06,245228,0,0.728,0.346,0.728,0.813,2.33e-05,0.147,-4.238,0.145,73.005,4
48,Jumped Out the Whip (feat. A$AP Rocky),Mr. Davis,Gucci Mane,2017-10-13,216373,45,0.811,0.0694,0.811,0.46,0.0,0.13,-5.924,0.351,141.937,4
49,Roll In Peace (feat. XXXTENTACION),Project Baby 2,Kodak Black,2017-08-18,213132,76,0.747,0.0306,0.747,0.524,0.0,0.2,-6.807,0.245,140.053,4
50,Kelly Price (feat. Travis Scott),Culture,Migos,2017-01-27,363934,66,0.745,0.53,0.745,0.685,0.0,0.176,-5.7,0.0313,121.977,4
51,Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,2017-10-27,276333,70,0.91,0.022,0.91,0.444,0.0,0.137,-8.126,0.344,149.953,4
52,Loyal,X (Deluxe Version),Chris Brown,2014-09-12,264946,2,0.845,0.0228,0.845,0.506,1.03e-06,0.0879,-5.971,0.0409,99.051,4
53,What Do You Do (feat. NAV),Still Striving,A$AP Ferg,2017-08-18,176866,54,0.819,0.358,0.819,0.713,1.63e-05,0.0947,-5.623,0.304,152.016,4
54,Bloodas,Bloodas,Tee Grizzley,2017-12-08,160000,37,0.817,0.00181,0.817,0.697,0.00011,0.107,-6.108,0.31,150.062,4
55,4 AM,Pretty Girls Like Trap Music,2 Chainz,2017-06-16,255560,0,0.789,0.124,0.789,0.501,0.0,0.169,-7.167,0.461,75.031,4
56,No Limit,No Limit,G-Eazy,2017-09-07,245386,5,0.838,0.0117,0.838,0.771,0.0,0.0853,-3.791,0.244,175.957,4
57,Pull Up N Wreck (& Metro Boomin),Double Or Nothing (& Metro Boomin),Big Sean,2017-12-08,227533,0,0.487,0.00725,0.487,0.441,0.000644,0.182,-7.858,0.342,173.086,4
58,Drip on Me,SUPER SLIMEY,Future,2017-10-20,199840,52,0.834,0.00362,0.834,0.618,2.67e-05,0.126,-7.653,0.231,135.889,4
59,Dark Queen,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,173419,69,0.747,0.222,0.747,0.606,0.0,0.281,-5.286,0.172,155.055,4
60,Say A',The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,214853,62,0.831,0.391,0.831,0.814,0.0,0.109,-5.18,0.474,161.041,4
61,X,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,173797,60,0.623,0.0043,0.623,0.58,0.0,0.394,-7.076,0.332,163.159,4
