,Unnamed: 0,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
100,0,Maahi Ve,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,366853,57,0.815,0.0297,0.815,0.833,2e-05,0.33,-6.117000000000001,0.0769,99.98899999999999,4,Throwback,Hindi,2003
101,1,Main Hoon Na,Main Hoon Na,Anu Malik,2004-02-27,361066,51,0.48,0.284,0.48,0.6809999999999999,0.0,0.125,-8.002,0.163,88.00299999999999,4,Throwback,Hindi,2004
102,2,Tumhe Jo Maine Dekha,Main Hoon Na,Anu Malik,2004-02-27,341146,48,0.7340000000000001,0.43200000000000005,0.7340000000000001,0.903,0.00569,0.2,-3.972,0.0649,102.009,4,Throwback,Hindi,2004
103,3,Chale Jaise Hawaien,Main Hoon Na,Anu Malik,2004-02-27,324053,47,0.75,0.0755,0.75,0.861,0.00586,0.20199999999999999,-11.029000000000002,0.0613,117.59299999999999,4,Throwback,Hindi,2004
104,4,Ye Fizaein,Main Hoon Na,Anu Malik,2004-02-27,317320,33,0.7090000000000001,0.0657,0.7090000000000001,0.701,4.95e-05,0.233,-7.334,0.0398,119.98200000000001,4,Throwback,Hindi,2004
105,5,Main Hoon Na(Sad),Main Hoon Na,Anu Malik,2004-02-27,255493,40,0.578,0.21899999999999997,0.578,0.48200000000000004,0.0,0.55,-10.503,0.0378,139.83100000000002,4,Throwback,Hindi,2004
106,6,Gori Gori Gori Gori,Main Hoon Na,Anu Malik,2004-02-27,268800,46,0.787,0.0726,0.787,0.866,0.00292,0.284,-7.016,0.0436,101.009,4,Throwback,Hindi,2004
107,7,Tumse Milke Dil Ka,Main Hoon Na,Anu Malik,2004-02-27,359253,53,0.853,0.0642,0.853,0.745,1.87e-06,0.0274,-8.636000000000001,0.109,107.985,4,Throwback,Hindi,2004
108,8,Chale Jaise Hawayein (Remix),Main Hoon Na,Anu Malik,2004-02-27,247080,30,0.6809999999999999,0.00305,0.6809999999999999,0.8959999999999999,0.0118,0.22699999999999998,-6.501,0.0631,134.987,4,Throwback,Hindi,2004
109,9,It's the Time to Disco,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2003-09-20,333093,53,0.902,0.0452,0.902,0.772,0.000129,0.12,-8.29,0.0383,131.99200000000002,4,Throwback,Hindi,2003
