,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
32,If You Leave Me Now,Chicago X,Chicago,1976-06-14,235373,75,0.429,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,104.212,4,romantic,English,1976
33,Careless Whisper,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,300106,76,0.574,0.128,0.574,0.629,0.0,0.271,-8.815,0.0363,153.119,4,romantic,English,1998
34,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Platinum & Gold Collection,Jennifer Warnes,2004-07-02,289066,71,0.7,0.0874,0.7,0.781,0.00342,0.059,-8.255,0.0507,108.695,4,romantic,English,2004
35,Mercy,Illuminate (Deluxe),Shawn Mendes,2016-09-23,208733,0,0.568,0.133,0.568,0.686,0.0,0.11,-4.901,0.0903,148.294,4,romantic,English,2016
36,Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,211240,74,0.4,0.693,0.4,0.564,0.0,0.0863,-7.444,0.0523,99.269,4,romantic,English,2016
37,Sometimes,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,245066,68,0.745,0.42,0.745,0.742,0.0,0.102,-5.693,0.0259,95.996,4,romantic,English,1999
38,Superman (It's Not Easy),America Town,Five For Fighting,2000-09-26,221693,70,0.382,0.0733,0.382,0.416,0.0,0.0719,-9.303,0.0302,102.089,4,romantic,English,2000
39,L-O-V-E - Remastered,The Unforgettable Nat King Cole (Remastered),Nat King Cole,2000-01-01,153466,0,0.574,0.694,0.574,0.187,0.0,0.0792,-14.762,0.0738,77.859,4,romantic,English,2000
40,All Out of Love,Ultimate Air Supply,Air Supply,2003-05-29,241373,64,0.503,0.291,0.503,0.47,0.0,0.396,-8.006,0.0257,108.486,4,romantic,English,2003
41,How Deep Is Your Love,Tales From The Brothers Gibb,Bee Gees,1990-01-01,241360,0,0.624,0.268,0.624,0.19,1.41e-06,0.231,-17.547,0.0288,105.021,4,romantic,English,1990
42,Lost In Love,Ultimate Air Supply,Air Supply,2003-05-29,231133,57,0.59,0.37,0.59,0.589,1.22e-06,0.162,-9.859,0.03,114.471,4,romantic,English,2003
