,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
33,Satin Doll,Jazz Party,Duke Ellington,1987-07-06,160893,18,0.629,0.947,0.629,0.0948,0.464,0.103,-18.296,0.0333,98.524,4,jazz,English,1987
34,Song For My Father,Song For My Father,Horace Silver,1999-01-01,438280,58,0.742,0.794,0.742,0.671,0.00441,0.122,-8.142,0.0407,127.359,4,jazz,English,1999
35,Jumpin' at the Woodside,First Time! The Count Meets The Duke,Duke Ellington,1961-01-01,188733,37,0.419,0.451,0.419,0.626,0.024,0.0884,-10.262,0.0981,133.629,4,jazz,English,1961
36,The Moontrane,Sophisticated Giant,Dexter Gordon,1977-01-01,396133,17,0.477,0.41,0.477,0.484,0.615,0.0963,-13.504,0.0682,119.012,4,jazz,English,1977
37,All the Things You Are,Two Of A Mind,Paul Desmond,1996-05-25,351280,24,0.467,0.67,0.467,0.232,0.0,0.123,-17.79,0.0695,102.446,4,jazz,English,1996
38,Midnight Blue - Remastered,Midnight Blue (The Rudy Van Gelder Edition),Kenny Burrell,1963-01-01,242346,53,0.652,0.546,0.652,0.356,0.000103,0.132,-13.733,0.0419,148.822,4,jazz,English,1963
39,Blue in Green,Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,337733,65,0.421,0.81,0.421,0.0161,0.0021,0.0978,-25.358,0.0374,110.926,4,jazz,English,1959
40,I'm a Fool to Want You,Lady In Satin,Billie Holiday,1958-06-01,203266,52,0.244,0.695,0.244,0.233,0.00059,0.282,-16.583,0.0413,78.088,5,jazz,English,1958
41,Criss Cross,Criss-Cross (Expanded Edition),Thelonious Monk,1963-01-01,280960,21,0.709,0.576,0.709,0.374,0.495,0.0892,-15.005,0.048,92.442,4,jazz,English,1963
42,Manteca,Night In Tunisia: The Very Best Of Dizzy Gillespie,Dizzy Gillespie,1946-01-01,186693,39,0.616,0.829,0.616,0.67,0.85,0.106,-8.714,0.244,87.096,4,jazz,English,1946
43,There Will Never Be Another You - 1995 Remastered,3 in Jazz (Remastered),Gary Burton,1963-02-01,341573,14,0.469,0.245,0.469,0.395,0.0194,0.105,-16.19,0.0675,145.494,3,jazz,English,1963
44,"I Loves You, Porgy (From ""Porgy & Bess"")",Porgy And Bess,Miles Davis,1959-01-01,253933,25,0.246,0.961,0.246,0.0323,8.34e-05,0.0775,-21.45,0.0405,125.101,5,jazz,English,1959
45,Autumn Leaves,Somethin' Else (Rudy Van Gelder Edition),Cannonball Adderley,1958-01-01,659520,47,0.535,0.768,0.535,0.258,8.95e-05,0.115,-9.499,0.033,110.953,4,jazz,English,1958
46,St. Thomas,Now's The Times!,Sonny Rollins,1964-01-01,235826,47,0.611,0.461,0.611,0.405,0.596,0.06,-10.607,0.0819,110.744,4,jazz,English,1964
47,Sanpaku,The Essential John Handy: The Columbia Years,John Handy,2009-01-01,146080,14,0.492,0.57,0.492,0.552,1.89e-06,0.293,-11.774,0.042,122.724,3,jazz,English,2009
48,Nice Work If You Can Get It - Live,Columbia Jazz,Ella Fitzgerald,1997-12-18,152733,25,0.585,0.985,0.585,0.32,0.000136,0.703,-17.618,0.819,146.557,4,jazz,English,1997
49,Waltz for Debby,The Bill Evans Album,Bill Evans,1971-01-01,461493,49,0.388,0.939,0.388,0.276,0.915,0.0784,-17.168,0.0374,92.415,4,jazz,English,1971
50,Day-Dream,And His Mother Called Him Bill,Duke Ellington,1968-01-01,259493,14,0.311,0.971,0.311,0.129,0.103,0.106,-14.089,0.035,150.338,5,jazz,English,1968
51,They Can't Take That Away from Me,The Legendary Okeh & Epic Sessions,Ahmad Jamal,1951-01-01,177120,11,0.573,0.981,0.573,0.217,0.871,0.107,-16.451,0.0432,83.303,4,jazz,English,1951
52,Una Noche con Francis,'Round Midnight - Original Motion Picture Soundtrack,Dexter Gordon,1977-01-01,262800,13,0.455,0.443,0.455,0.532,1.2e-05,0.15,-10.361,0.0343,107.339,4,jazz,English,1977
53,Sun Dance,"Of Course, Of Course",Charles Lloyd,1966-08-26,212373,14,0.528,0.447,0.528,0.492,0.0,0.411,-10.453,0.0379,148.734,4,jazz,English,1966
54,Theme for Maxine,Rosewood,Woody Shaw,1978-01-01,435040,41,0.397,0.611,0.397,0.329,0.84,0.207,-13.317,0.0398,166.831,3,jazz,English,1978
55,The Sidewinder - Remastered 1999/Rudy Van Gelder Edition,The Sidewinder (The Rudy Van Gelder Edition),Lee Morgan,1999-01-01,625293,49,0.473,0.446,0.473,0.67,3.15e-06,0.0957,-7.756,0.0353,152.484,4,jazz,English,1999
56,Three In One,The Essential John Handy: The Columbia Years,John Handy,2009-01-01,240666,13,0.474,0.588,0.474,0.474,0.0,0.0993,-12.079,0.0447,117.753,3,jazz,English,2009
57,Ah-Leu-Cha,'Round About Midnight,Miles Davis,1957-03-18,350333,37,0.532,0.408,0.532,0.553,0.0,0.323,-9.584,0.0423,121.657,3,jazz,English,1957
58,Diminuendo In Blue - Live,Ellington at Newport 1956 (Complete),Duke Ellington,1956-01-01,854666,31,0.352,0.691,0.352,0.488,7.85e-05,0.646,-15.414,0.14,206.919,4,jazz,English,1956
59,Mean to Me,Sarah Vaughan In Hi-Fi,Sarah Vaughan,1949-01-01,172533,43,0.623,0.823,0.623,0.0986,0.0,0.23,-10.503,0.0413,123.772,4,jazz,English,1949
60,Polka Dots And Moonbeams - Remastered,The Amazing Bud Powell,Bud Powell,1998-01-01,243773,43,0.558,0.946,0.558,0.0891,0.924,0.0966,-17.633,0.0643,100.523,4,jazz,English,1998
61,Bye Bye Blackbird,'Round About Midnight,Miles Davis,1957-03-18,474626,43,0.632,0.564,0.632,0.32,3.83e-06,0.0903,-10.563,0.0461,122.516,4,jazz,English,1957
62,Where Are You - Remastered,The Bridge,Sonny Rollins,1962-01-01,310265,40,0.545,0.888,0.545,0.0145,0.0903,0.156,-23.17,0.0441,102.057,4,jazz,English,1962
63,April In Paris - Take 6,Monk. (Expanded Edition),Thelonious Monk,1965-01-01,478773,16,0.522,0.747,0.522,0.298,0.000329,0.104,-13.129,0.0501,88.247,4,jazz,English,1965
64,San Souci,Jazz Lab,Don Byrd,1957-01-01,434413,13,0.631,0.652,0.631,0.234,0.176,0.256,-16.514,0.0553,98.598,4,jazz,English,1957
65,Jive Hoot,Bob Brookmeyer & Friends,Bob Brookmeyer,1965-01-01,280800,18,0.388,0.788,0.388,0.352,0.000364,0.226,-12.979,0.0398,156.876,4,jazz,English,1965
66,Bésame Mucho,Piano Player,Bill Evans,1957-01-01,413173,15,0.574,0.481,0.574,0.428,0.181,0.109,-12.344,0.0558,97.405,4,jazz,English,1957
67,(There Is) No Greater Love,Unsung Hero,Charlie Rouse,1990-09-24,380666,13,0.688,0.914,0.688,0.166,0.263,0.0961,-14.39,0.0701,108.788,4,jazz,English,1990
68,You've Changed,Lady In Satin,Billie Holiday,1958-06-01,197093,30,0.321,0.776,0.321,0.291,0.000129,0.277,-14.861,0.0365,94.325,3,jazz,English,1958
69,Moanin',Moanin' (The Rudy Van Gelder Edition),Art Blakey & The Jazz Messengers,1999-01-01,570720,55,0.612,0.804,0.612,0.493,0.266,0.202,-8.589,0.0467,126.358,4,jazz,English,1999
70,Paraphernalia,Miles In The Sky,Miles Davis,1968-07-22,756133,30,0.487,0.376,0.487,0.422,0.0284,0.378,-13.061,0.0469,125.98,3,jazz,English,1968
71,Willow Weep for Me,It's Uptown,The George Benson Quartet,1966-01-01,466773,15,0.633,0.692,0.633,0.209,0.324,0.092,-16.532,0.048,108.082,4,jazz,English,1966
72,'Deed I Do,V-8 Ford Blues,Mose Allison,1994-07-24,114000,17,0.74,0.717,0.74,0.244,3.82e-06,0.146,-17.238,0.0479,140.716,4,jazz,English,1994
73,Speak Low - 1998 Remaster,Sonny's Crib,Sonny Clark,1998-01-01,410773,25,0.403,0.828,0.403,0.392,0.00706,0.116,-10.238,0.0413,170.956,4,jazz,English,1998
74,I Told You So,Manhattan Symphonie,Dexter Gordon,1978-01-01,379626,11,0.555,0.839,0.555,0.373,0.257,0.0935,-13.005,0.063,86.055,4,jazz,English,1978
75,Haupe,Anatomy of a Murder,Duke Ellington,1959-01-01,156306,50,0.415,0.905,0.415,0.0187,0.194,0.0979,-20.209,0.0363,111.42,4,jazz,English,1959
76,Beale Street Blues,Louis Armstrong Plays W. C. Handy,Louis Armstrong,1954-01-01,296466,19,0.583,0.736,0.583,0.307,0.0191,0.123,-10.769,0.0391,75.471,4,jazz,English,1954
77,As Time Goes By,Manhattan Symphonie,Dexter Gordon,1978-01-01,539840,14,0.621,0.98,0.621,0.0722,0.517,0.149,-15.856,0.043,63.966,3,jazz,English,1978
78,Stella By Starlight - 1995 Remastered,3 in Jazz (Remastered),Gary Burton,1963-02-01,189973,14,0.418,0.802,0.418,0.246,0.0415,0.102,-17.457,0.0386,173.395,4,jazz,English,1963
79,God Bless the Child - Take 1,The Essential Billie Holiday,Billie Holiday,2010-10-26,174493,20,0.524,0.962,0.524,0.1,0.0,0.34,-11.81,0.0398,75.612,4,jazz,English,2010
80,My Funny Valentine,What Is There To Say?,Gerry Mulligan,1959-01-01,246066,42,0.329,0.972,0.329,0.0317,0.939,0.147,-21.514,0.0441,75.844,4,jazz,English,1959
81,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,Soul Station,Hank Mobley,1990-01-01,369386,39,0.599,0.82,0.599,0.444,0.000474,0.122,-8.648,0.044,142.81,4,jazz,English,1990
82,Silver's Blue,Silver's Blue,Horace Silver,1956-01-01,463346,24,0.597,0.944,0.597,0.26,0.815,0.208,-12.295,0.0486,135.152,4,jazz,English,1956
83,Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,Speak No Evil,Wayne Shorter,1999-01-01,503786,45,0.46,0.613,0.46,0.633,0.0,0.274,-7.153,0.0404,106.331,3,jazz,English,1999
84,Mo' Better Blues (feat. Terence Blanchard),MUSIC FROM MO' BETTER BLUES (feat. Terence Blanchard),Branford Marsalis Quartet,1990-07-29,218973,51,0.616,0.357,0.616,0.278,0.192,0.153,-16.973,0.0283,100.325,4,jazz,English,1990
85,"Love Theme From ""In Harm's Way""",Nirvana,Charles Lloyd,1968-07-17,130866,12,0.42,0.463,0.42,0.446,0.224,0.126,-12.024,0.0333,134.859,3,jazz,English,1968
86,"Over the Rainbow (From ""The Wizard of Oz"")",Jazz Lab,Don Byrd,1957-01-01,498413,13,0.579,0.761,0.579,0.317,0.0913,0.514,-11.425,0.0629,143.457,4,jazz,English,1957
87,Can't We Be Friends?,Social Call,Betty Carter,1980-01-01,146880,20,0.639,0.762,0.639,0.249,0.0,0.0998,-10.088,0.0383,117.087,4,jazz,English,1980
88,Back At The Chicken Shack,Back At The Chicken Shack,Jimmy Smith,1963-02-12,483093,42,0.714,0.828,0.714,0.367,0.399,0.112,-12.855,0.0328,107.328,4,jazz,English,1963
89,Sideman,Finger Lickin' Good,Dr. Lonnie Smith,1967-03-01,287480,22,0.727,0.394,0.727,0.689,0.893,0.325,-9.256,0.0322,126.007,4,jazz,English,1967
90,In a Capricornian Way - Live,Stepping Stones: Live At The Village Vanguard,Woody Shaw,1979-01-01,676346,19,0.358,0.533,0.358,0.476,0.48,0.111,-11.819,0.0369,85.001,3,jazz,English,1979
91,Work Song,Sin & Soul... And Then Some,"Oscar Brown, Jr.",1996-11-05,151426,29,0.511,0.592,0.511,0.636,0.0,0.189,-10.651,0.137,145.072,4,jazz,English,1996
92,Nefertiti,Nefertiti,Miles Davis,1968-03-01,470733,38,0.396,0.326,0.396,0.464,0.309,0.312,-10.553,0.0315,107.331,4,jazz,English,1968
93,Autumn Leaves,The Best Of Paul Desmond,Paul Desmond,1972-01-01,422666,43,0.34,0.789,0.34,0.359,0.367,0.0943,-20.131,0.0504,187.139,4,jazz,English,1972
94,Body and Soul,Monk's Dream,Thelonious Monk,1963-01-01,268400,43,0.513,0.935,0.513,0.292,0.886,0.0669,-16.83,0.065,105.141,1,jazz,English,1963
95,Love Song To A Baby,Discovery!,Charles Lloyd,1964-07-17,354360,14,0.431,0.969,0.431,0.182,0.853,0.15,-19.341,0.0334,97.904,4,jazz,English,1964
96,Flamenco Sketches,Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,566133,55,0.349,0.899,0.349,0.0219,0.12,0.0906,-21.065,0.0425,177.92,3,jazz,English,1959
97,Black Coffee,After Hours,Sarah Vaughan,1955-04-12,200440,53,0.38,0.973,0.38,0.155,1.7e-05,0.0977,-11.977,0.0311,94.23,3,jazz,English,1955
98,How Long Has This Been Going On,"Ben And ""Sweets""",Ben Webster,1962-01-01,330693,23,0.529,0.99,0.529,0.0367,0.31,0.127,-21.63,0.0515,140.296,4,jazz,English,1962
99,The Peacocks,The Peacocks,Stan Getz,1977-11-06,339786,23,0.453,0.982,0.453,0.0813,0.475,0.109,-20.509,0.0456,58.487,4,jazz,English,1977
