,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
31,Solitaires (feat. Travis Scott),High Off Life,Future,2020-05-15,205666,81,0.691,0.122,0.691,0.632,0.0,0.0646,-7.598,0.0513,169.982,4,Hip-Hop,English,2020
32,WRONG (feat. Lil Mosey),F*CK LOVE,The Kid LAROI,2020-07-24,183567,79,0.389,0.038,0.389,0.768,0.0,0.119,-4.765,0.256,90.146,4,Hip-Hop,English,2020
33,Vacant Heart (feat. Big4Keezy),Vacant Heart (feat. Big4Keezy),StaySolidRocky,2020-06-19,168071,52,0.69,0.423,0.69,0.676,0.0,0.14,-6.84,0.198,159.947,4,Hip-Hop,English,2020
34,All Bad (feat. Lil Uzi Vert),High Off Life,Future,2020-05-15,207738,72,0.931,0.0144,0.931,0.667,0.0,0.15,-7.043,0.318,142.039,4,Hip-Hop,English,2020
35,Tommy Lee (feat. Post Malone),Tommy Lee (feat. Post Malone),Tyla Yaweh,2020-06-11,224638,55,0.413,0.215,0.413,0.615,0.0,0.0927,-5.892,0.238,176.981,3,Hip-Hop,English,2020
36,Beautiful Pain (Losin My Mind),THE GOAT,Polo G,2020-05-15,171441,74,0.597,0.137,0.597,0.477,0.0,0.113,-9.638,0.642,80.382,4,Hip-Hop,English,2020
37,Savage Remix (feat. Beyoncé),Savage Remix (feat. Beyoncé),Megan Thee Stallion,2020-04-29,242000,89,0.822,0.016,0.822,0.743,0.0,0.127,-4.772,0.28,84.459,4,Hip-Hop,English,2020
38,YOSEMITE,ASTROWORLD,Travis Scott,2018-08-03,150043,80,0.785,0.283,0.785,0.554,3.4e-06,0.116,-6.571,0.0409,128.047,4,Hip-Hop,English,2018
39,Go Crazy,Slime & B,Chris Brown,2020-05-05,176960,39,0.755,0.316,0.755,0.578,0.0,0.25,-8.932,0.145,94.148,4,Hip-Hop,English,2020
40,VACATION,VACATION,Tyga,2020-06-19,192935,70,0.821,0.0247,0.821,0.61,0.0,0.185,-6.22,0.0959,110.973,4,Hip-Hop,English,2020
41,Sum Bout U (feat. FKA twigs),Sum Bout U (feat. FKA twigs),645AR,2020-08-04,132973,58,0.76,0.00276,0.76,0.619,0.0,0.276,-7.931,0.136,136.154,4,Hip-Hop,English,2020
42,Harlem Shake (feat. Young Thug),High Off Life,Future,2020-05-15,148246,64,0.864,7.68e-05,0.864,0.689,0.000467,0.111,-7.273,0.22,152.946,4,Hip-Hop,English,2020
43,Had Enough,Had Enough,G-Eazy,2020-06-25,193441,59,0.638,0.00512,0.638,0.683,9.62e-06,0.085,-8.121,0.0554,103.023,4,Hip-Hop,English,2020
44,Secret (feat. Summer Walker),Secret (feat. Summer Walker),21 Savage,2020-04-17,210461,72,0.727,0.0893,0.727,0.496,0.00011,0.0987,-10.386,0.178,130.061,4,Hip-Hop,English,2020
45,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,90,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,Hip-Hop,English,2019
46,Skechers,Skechers,DripReport,2020-01-12,106000,86,0.903,0.26,0.903,0.327,0.011,0.108,-9.727,0.0877,100.008,4,Hip-Hop,English,2020
47,24,24,Arizona Zervas,2020-05-08,123995,71,0.735,0.156,0.735,0.794,0.0,0.11,-3.434,0.193,147.98,4,Hip-Hop,English,2020
48,TELL ME WHY,TELL ME WHY,The Kid LAROI,2020-07-17,195268,77,0.6,0.109,0.6,0.723,0.0,0.167,-4.928,0.158,149.881,4,Hip-Hop,English,2020
